19:31:42.728  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
19:35:52.497  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
19:40:05.902  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
19:40:13.073  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
19:42:51.074  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
19:44:20.642  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
19:44:31.226  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
20:16:43.338  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
20:17:44.706  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
20:55:23.423  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:05:59.919  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:07:42.843  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:11:39.798  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:14:03.952  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:21:42.421  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:25:29.524  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:27:12.622  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:28:03.680  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:30:01.864  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:30:57.207  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:33:42.164  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:36:30.779  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:39:19.531  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
21:41:16.343  192.168.1.98:配置文件中获取网卡IP失败, ret = -3
